image,class,split,spai
FODB/D09_Samsung_GalaxyS4mini_1/instagram/D09_img_instagram_0031.jpg,1,test,7.300831795712269e-21
FODB/D09_Samsung_GalaxyS4mini_1/facebook/D09_img_facebook_0096.jpg,1,test,2.7827313786588093e-09
FODB/D05_Apple_iPhone6s_1/twitter/D05_img_twitter_0031.jpg,1,test,2.045307610387681e-06
FODB/D12_Samsung_GalaxyStar5280_1/whatsapp/D12_img_whatsapp_0103.jpg,1,test,0.5506579279899597
FODB/D26_Huawei_P20lite_1/instagram/D26_img_instagram_0075.jpg,1,test,0.046773310750722885
FODB/D22_BQ_AquarisX_1/telegram/D22_img_telegram_0107.jpg,1,test,0.03412275388836861
FODB/D10_Samsung_GalaxyJ1_1/whatsapp/D10_img_whatsapp_0010.jpg,1,test,0.7584025263786316
FODB/D26_Huawei_P20lite_1/whatsapp/D26_img_whatsapp_0024.jpg,1,test,2.605863827942912e-14
FODB/D26_Huawei_P20lite_1/telegram/D26_img_telegram_0008.jpg,1,test,0.8203136920928955
FODB/D21_Google_Nexus5_1/telegram/D21_img_telegram_0110.jpg,1,test,0.20369170606136322
FODB/D13_Sony_XperiaE5_1/instagram/D13_img_instagram_0008.jpg,1,test,0.7968437075614929
FODB/D20_Google_Pixel3_1/twitter/D20_img_twitter_0003.jpg,1,test,1.0
FODB/D06_LG_G6_1/instagram/D06_img_instagram_0115.jpg,1,test,2.335742692594067e-06
FODB/D23_Huawei_P9lite_1/facebook/D23_img_facebook_0106.jpg,1,test,0.05255229398608208
FODB/D26_Huawei_P20lite_1/instagram/D26_img_instagram_0079.jpg,1,test,1.0
FODB/D01_Motorola_E3_1/instagram/D01_img_instagram_0083.jpg,1,test,1.3066554629403981e-06
FODB/D11_Samsung_GalaxyJ3_1/whatsapp/D11_img_whatsapp_0119.jpg,1,test,0.0011318372562527657
FODB/D19_Apple_iPhone8Plus_1/orig/D19_img_orig_0069.jpg,1,test,0.9999967813491821
FODB/D09_Samsung_GalaxyS4mini_1/facebook/D09_img_facebook_0104.jpg,1,test,0.9120261073112488
FODB/D16_Samsung_GalaxyA6_2/telegram/D16_img_telegram_0095.jpg,1,test,0.9713175296783447
FODB/D18_Samsung_GalaxyS4_1/twitter/D18_img_twitter_0030.jpg,1,test,0.8874277472496033
FODB/D12_Samsung_GalaxyStar5280_1/whatsapp/D12_img_whatsapp_0050.jpg,1,test,0.9997186064720154
FODB/D25_Huawei_P9lite_2/orig/D25_img_orig_0097.jpg,1,test,0.1748693287372589
FODB/D08_Motorola_G8Plus_1/instagram/D08_img_instagram_0016.jpg,1,test,0.8593092560768127
FODB/D07_Motorola_Z2Play_1/orig/D07_img_orig_0068.jpg,1,test,7.137630930742489e-09
FODB/D04_LG_G3_1/instagram/D04_img_instagram_0075.jpg,1,test,6.494363269382575e-09
FODB/D05_Apple_iPhone6s_1/twitter/D05_img_twitter_0059.jpg,1,test,0.1498798131942749
FODB/D01_Motorola_E3_1/facebook/D01_img_facebook_0114.jpg,1,test,3.66113695992604e-18
FODB/D23_Huawei_P9lite_1/facebook/D23_img_facebook_0080.jpg,1,test,0.9987472295761108
FODB/D21_Google_Nexus5_1/telegram/D21_img_telegram_0141.jpg,1,test,0.08801152557134628
FODB/D03_Wiko_Lenny2_1/twitter/D03_img_twitter_0107.jpg,1,test,0.820175290107727
FODB/D06_LG_G6_1/instagram/D06_img_instagram_0064.jpg,1,test,0.6924875378608704
FODB/D22_BQ_AquarisX_1/twitter/D22_img_twitter_0045.jpg,1,test,0.8572027683258057
FODB/D07_Motorola_Z2Play_1/orig/D07_img_orig_0056.jpg,1,test,2.0987845346098766e-06
FODB/D15_Samsung_GalaxyA6_1/telegram/D15_img_telegram_0138.jpg,1,test,0.9023451209068298
FODB/D02_LG_OptimusL50_1/whatsapp/D02_img_whatsapp_0083.jpg,1,test,1.1826780874080178e-12
FODB/D12_Samsung_GalaxyStar5280_1/facebook/D12_img_facebook_0113.jpg,1,test,5.334094943520995e-09
FODB/D01_Motorola_E3_1/whatsapp/D01_img_whatsapp_0016.jpg,1,test,0.5402462482452393
FODB/D24_Huawei_P8lite_1/whatsapp/D24_img_whatsapp_0129.jpg,1,test,0.9809432625770569
FODB/D13_Sony_XperiaE5_1/facebook/D13_img_facebook_0021.jpg,1,test,0.9544445872306824
FODB/D09_Samsung_GalaxyS4mini_1/orig/D09_img_orig_0140.jpg,1,test,0.4366203546524048
FODB/D22_BQ_AquarisX_1/orig/D22_img_orig_0093.jpg,1,test,0.9899404644966125
FODB/D12_Samsung_GalaxyStar5280_1/twitter/D12_img_twitter_0003.jpg,1,test,0.09094229340553284
FODB/D09_Samsung_GalaxyS4mini_1/twitter/D09_img_twitter_0013.jpg,1,test,0.001879423507489264
FODB/D09_Samsung_GalaxyS4mini_1/telegram/D09_img_telegram_0024.jpg,1,test,0.30177345871925354
FODB/D26_Huawei_P20lite_1/twitter/D26_img_twitter_0058.jpg,1,test,0.27695271372795105
FODB/D12_Samsung_GalaxyStar5280_1/twitter/D12_img_twitter_0069.jpg,1,test,0.7135288119316101
FODB/D19_Apple_iPhone8Plus_1/instagram/D19_img_instagram_0064.jpg,1,test,7.719189852650743e-06
FODB/D10_Samsung_GalaxyJ1_1/whatsapp/D10_img_whatsapp_0123.jpg,1,test,0.7796100378036499
FODB/D19_Apple_iPhone8Plus_1/telegram/D19_img_telegram_0091.jpg,1,test,0.9552159309387207
FODB/D26_Huawei_P20lite_1/facebook/D26_img_facebook_0034.jpg,1,test,7.341707714658696e-06
FODB/D18_Samsung_GalaxyS4_1/twitter/D18_img_twitter_0081.jpg,1,test,0.7714597582817078
FODB/D21_Google_Nexus5_1/whatsapp/D21_img_whatsapp_0048.jpg,1,test,0.9999566078186035
FODB/D25_Huawei_P9lite_2/telegram/D25_img_telegram_0046.jpg,1,test,0.03155912086367607
