image,class,split
COCO/test2017/000000113339.png,0,test
COCO/test2017/000000515157.png,0,test
COCO/test2017/000000297259.png,0,test
COCO/test2017/000000494120.png,0,test
COCO/test2017/000000123440.png,0,test
COCO/test2017/000000020099.png,0,test
COCO/test2017/000000258227.png,0,test
COCO/test2017/000000124610.png,0,test
COCO/test2017/000000438565.png,0,test
COCO/test2017/000000479224.png,0,test
COCO/test2017/000000068768.png,0,test
COCO/test2017/000000460173.png,0,test
COCO/test2017/000000552255.png,0,test
COCO/test2017/000000209344.png,0,test
COCO/test2017/000000029938.png,0,test
COCO/test2017/000000438733.png,0,test
COCO/test2017/000000281460.png,0,test
COCO/test2017/000000412264.png,0,test
COCO/test2017/000000517157.png,0,test
COCO/test2017/000000053991.png,0,test
COCO/test2017/000000570149.png,0,test
COCO/test2017/000000219773.png,0,test
COCO/test2017/000000480596.png,0,test
COCO/test2017/000000249731.png,0,test
COCO/test2017/000000001124.png,0,test
COCO/test2017/000000249305.png,0,test
COCO/test2017/000000073360.png,0,test
COCO/test2017/000000472121.png,0,test
COCO/test2017/000000063432.png,0,test
COCO/test2017/000000246400.png,0,test
COCO/test2017/000000295880.png,0,test
COCO/test2017/000000084205.png,0,test
COCO/test2017/000000299819.png,0,test
COCO/test2017/000000023468.png,0,test
COCO/test2017/000000474686.png,0,test
COCO/test2017/000000275169.png,0,test
COCO/test2017/000000214722.png,0,test
COCO/test2017/000000569910.png,0,test
COCO/test2017/000000374528.png,0,test
COCO/test2017/000000504903.png,0,test
COCO/test2017/000000085832.png,0,test
COCO/test2017/000000210633.png,0,test
COCO/test2017/000000565089.png,0,test
COCO/test2017/000000146024.png,0,test
COCO/test2017/000000577360.png,0,test
COCO/test2017/000000084848.png,0,test
COCO/test2017/000000008993.png,0,test
COCO/test2017/000000173419.png,0,test
COCO/test2017/000000380004.png,0,test
COCO/test2017/000000235003.png,0,test
COCO/test2017/000000143658.png,0,test
COCO/test2017/000000076158.png,0,test
COCO/test2017/000000328506.png,0,test
COCO/test2017/000000353752.png,0,test
COCO/test2017/000000358364.png,0,test
COCO/test2017/000000233860.png,0,test
COCO/test2017/000000308835.png,0,test
COCO/test2017/000000317170.png,0,test
COCO/test2017/000000431307.png,0,test
COCO/test2017/000000161168.png,0,test
COCO/test2017/000000228903.png,0,test
COCO/test2017/000000080299.png,0,test
COCO/test2017/000000007609.png,0,test
COCO/test2017/000000568219.png,0,test
COCO/test2017/000000267617.png,0,test
COCO/test2017/000000067219.png,0,test
COCO/test2017/000000487209.png,0,test
COCO/test2017/000000283703.png,0,test
COCO/test2017/000000024114.png,0,test
COCO/test2017/000000422537.png,0,test
COCO/test2017/000000176535.png,0,test
COCO/test2017/000000505499.png,0,test
COCO/test2017/000000050793.png,0,test
COCO/test2017/000000140275.png,0,test
COCO/test2017/000000127685.png,0,test
COCO/test2017/000000552466.png,0,test
COCO/test2017/000000378316.png,0,test
COCO/test2017/000000545298.png,0,test
COCO/test2017/000000120050.png,0,test
COCO/test2017/000000193302.png,0,test
COCO/test2017/000000283623.png,0,test
COCO/test2017/000000248718.png,0,test
COCO/test2017/000000305345.png,0,test
COCO/test2017/000000066357.png,0,test
COCO/test2017/000000495063.png,0,test
COCO/test2017/000000242533.png,0,test
COCO/test2017/000000436832.png,0,test
COCO/test2017/000000234849.png,0,test
COCO/test2017/000000196181.png,0,test
COCO/test2017/000000025064.png,0,test
COCO/test2017/000000085049.png,0,test
COCO/test2017/000000551707.png,0,test
COCO/test2017/000000567745.png,0,test
COCO/test2017/000000263460.png,0,test
COCO/test2017/000000475908.png,0,test
COCO/test2017/000000042864.png,0,test
COCO/test2017/000000082799.png,0,test
COCO/test2017/000000372666.png,0,test
COCO/test2017/000000422034.png,0,test
COCO/test2017/000000389110.png,0,test
COCO/test2017/000000219630.png,0,test
COCO/test2017/000000566868.png,0,test
COCO/test2017/000000428270.png,0,test
COCO/test2017/000000438437.png,0,test
COCO/test2017/000000441740.png,0,test
COCO/test2017/000000192036.png,0,test
COCO/test2017/000000388879.png,0,test
COCO/test2017/000000212050.png,0,test
COCO/test2017/000000329677.png,0,test
COCO/test2017/000000532939.png,0,test
