image,class,split
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00052030.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00091934.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00084060.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00088897.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00046939.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00000817.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00024422.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00070404.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00051319.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00096299.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00033140.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00028538.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00044445.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00062175.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00024267.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00067255.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00084318.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00096177.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00091125.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00035775.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00006928.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00011287.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00065722.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00095466.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00076173.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00074029.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00049377.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00049125.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00083525.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00020705.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00068747.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00085899.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00022913.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00015557.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00026518.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00092213.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00035595.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00041259.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00015970.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00017400.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00004762.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00024406.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00075630.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00091906.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00001383.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00084595.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00048722.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00052819.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00081071.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00073781.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00016112.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00013101.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00080104.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00060034.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00035836.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00011309.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00007686.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00030766.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00004354.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00031491.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00055084.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00034392.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00019470.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00024410.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00078998.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00077444.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00007916.jpg,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00076240.jpg,0,test
